MODEL_NAME,FEATURES,LOSS_FUNCTION,TERMINATION_CRITERIA,THRESHOLD_METHOD,VALID_DATASET,PRECISION,RECALL,F1_SCORE,TP,FP,TN,FN
bs_xyzc_bce_vf_loss,"[0, 1, 2, 7]",BCELoss,loss,pr,False,0.9074382572082219,0.7611415329351001,0.7987563041840803,7587.940854326396,453.2519167579409,14173.473165388828,2785.3340635268346
bs_xyzn_bce_vf_f1,"[0, 1, 2, 4, 5, 6]",BCELoss,f1_score,pr,False,0.9258057812203884,0.8091188118468562,0.852834926378323,8522.603504928806,804.4392113910186,13822.28587075575,1850.6714129244249
bs_xyz_bce_vt_f1,"[0, 1, 2]",BCELoss,f1_score,pr,True,0.7917598031229786,0.693047589302543,0.7292643719092884,6822.305585980284,1763.2552026286967,12863.469879518072,3550.9693318729464
bs_xyz_bce_vf_f1,"[0, 1, 2]",BCELoss,f1_score,pr,False,0.7657479701407736,0.8385529504301722,0.7865902862519354,8418.768893756846,3075.352683461117,11551.372398685651,1954.5060240963855
bs_xyzc_bce_vf_f1,"[0, 1, 2, 7]",BCELoss,f1_score,pr,False,0.8816629120639836,0.7970233924031739,0.8165617188356709,8108.589266155531,831.6013143483023,13795.123767798466,2264.6856516977
bs_xyz_bce_vt_loss,"[0, 1, 2]",BCELoss,loss,pr,True,0.7111827492301069,0.6401098226704118,0.6535686443317587,6355.364731653888,2840.5071193866374,11786.21796276013,4017.9101861993427
bs_xyzc_bce_vt_f1,"[0, 1, 2, 7]",BCELoss,f1_score,pr,True,0.6940447204430291,0.9047841710756469,0.7746995269023566,9333.811610076671,4791.455640744797,9835.269441401972,1039.463307776561
bs_xyzc_bce_vt_loss,"[0, 1, 2, 7]",BCELoss,loss,pr,True,0.8270530274609704,0.8293082117433423,0.8176316755861537,8415.388828039431,2117.253012048193,12509.472070098576,1957.8860898138007
bs_xyzn_bce_vt_f1,"[0, 1, 2, 4, 5, 6]",BCELoss,f1_score,pr,True,0.9441976932006947,0.9737639883121944,0.9567553759880647,10081.292442497263,551.1872946330777,14075.537787513691,291.9824753559693
bs_xyzn_bce_vt_loss,"[0, 1, 2, 4, 5, 6]",BCELoss,loss,pr,True,0.9447747078884229,0.9913603685452552,0.9654883784603344,10268.593647316538,584.3680175246441,14042.357064622125,104.68127053669222
